system,family,n,seed,paths_total,path_index,status,final_t,elapsed_sec,iterations,min_dt,median_dt,max_dt,mean_dt,min_radius,median_radius,mean_radius_theory_gap,max_eta,min_r_theory
random(2^5),random_dense,5,217347005,32,11,success,1.0,1.252851333,43,0.003679499937971158,0.01824220143960216,0.06277912145680829,0.02325581395348837,0.0001953125,0.000390625,5.340885326169062e12,0.01662639250952073,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,12,success,1.0,0.772061208,50,0.0076093846783582405,0.014624081012647758,0.0910378161719136,0.02,0.000390625,0.00078125,4.593161373526673e12,0.02416964243720754,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,13,success,1.0,0.986790292,42,0.006281448413420732,0.019868674912545188,0.06609438972296099,0.023809523809523808,0.000390625,0.000390625,5.468049022488453e12,0.019109937268967227,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,14,success,1.0,0.621976291,43,0.003955682931246196,0.010505384461852386,0.09916641028494833,0.023255813953488372,0.00078125,0.00078125,5.340885864525204e12,0.02395880999806432,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,15,success,1.0,2.36037625,74,0.00038959597103970303,0.01150303600782428,0.06632200533505256,0.013513513513513516,4.8828125e-5,9.765625e-5,3.1034875014492793e12,0.01840203606110571,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,16,success,1.0,0.531654083,31,0.010765274916662343,0.028336124289587622,0.06803818809110282,0.03225806451612903,0.00078125,0.00078125,7.408325238142822e12,0.0229606133380753,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,17,success,1.0,0.535670916,31,0.005614170769161353,0.026465674973700348,0.1026945021253355,0.03225806451612903,0.00078125,0.00078125,7.408324535055817e12,0.0193632414729835,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,18,success,1.0,0.523395875,35,0.008591777350569147,0.017530446720154705,0.10781731237812049,0.02857142857142857,0.00078125,0.00078125,6.561658868201953e12,0.02156911303347522,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,19,success,1.0,0.579691833,52,0.004260908221448471,0.013954762951936043,0.07831005002851746,0.019230769230769232,0.000390625,0.00078125,4.416501279337224e12,0.019319357582044113,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,20,success,1.0,0.379960125,27,0.011006887525046206,0.03286933124114723,0.08810753336636554,0.037037037037037035,0.0015625,0.0015625,8.505854057107683e12,0.01775711383447226,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,21,success,1.0,0.884871,59,0.0016024674034374373,0.013006211798720939,0.07721538757391468,0.016949152542372878,0.000390625,0.000390625,3.892509556630958e12,0.021351048796751263,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,22,success,1.0,0.368245958,18,0.034608519819658165,0.05118059509379289,0.09404927685857589,0.05555555555555555,0.0015625,0.0015625,1.2758780935459164e13,0.019362588241653857,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,23,success,1.0,0.938360208,78,0.0039297129339531875,0.009324827205606758,0.06549724622990208,0.01282051282051282,0.000390625,0.000390625,2.9443342708873477e12,0.017610785422215957,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,24,success,1.0,3.448080042,196,0.00013852923833307913,0.0014882064417324169,0.04323553669225508,0.005102040816326533,9.765625e-5,0.00078125,1.1717253596311504e12,0.01629051030621253,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,25,success,1.0,1.296893791,103,0.0003874843334919226,0.007438550764782254,0.06259456520307168,0.009708737864077669,4.8828125e-5,0.000390625,2.229690882471792e12,0.023494164282480613,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,26,success,1.0,1.265104708,47,0.004519490075033716,0.018534341255088228,0.06920993370591287,0.02127659574468085,0.000390625,0.000390625,4.886343120961762e12,0.02259475673905443,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,27,success,1.0,0.435047708,27,0.004341945777242755,0.022996756456717976,0.11498956679815014,0.037037037037037035,0.00078125,0.00078125,8.505853991977148e12,0.020580846963048856,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,28,success,1.0,1.361043667,68,0.0018203417334884226,0.010259689287857435,0.06542687840424097,0.014705882352941176,0.000390625,0.00078125,3.3773245916548687e12,0.020238390063406077,1.088574932575425e-16
random(2^5),random_dense,5,217347005,32,29,success,1.0,0.613055041,32,0.0046118634182437555,0.017067725719745717,0.13606463134826507,0.03125000000000001,0.00078125,0.00078125,7.176814468566831e12,0.02207188041915427,1.088574932575425e-16
